,Layer,Mult,Pos,Average,Matching,Not Matching
0,0,-1.0,-3,0.5762192,0.399325,0.33908528
1,0,-0.5,-3,0.5809389,0.3858477,0.32173312
2,0,-0.1,-3,0.58334327,0.38950747,0.31129175
3,0,0.0,-3,0.5831409,0.38425878,0.307647
4,0,0.1,-3,0.5827611,0.37726808,0.30373943
5,0,0.5,-3,0.5806993,0.34741223,0.29000992
6,0,1.0,-3,0.5820072,0.33716145,0.2838856
7,0,-1.0,-5,0.5774286,0.35981053,0.32200414
8,0,-0.5,-5,0.58258265,0.3840771,0.31650388
9,0,-0.1,-5,0.5832904,0.38631436,0.30981323
10,0,0.0,-5,0.5831409,0.38425878,0.307647
11,0,0.1,-5,0.58290124,0.38140988,0.30534688
12,0,0.5,-5,0.5812061,0.36545697,0.2958911
13,0,1.0,-5,0.5786049,0.347415,0.28690478
14,0,-1.0,-10,0.5801698,0.36487007,0.31467727
15,0,-0.5,-10,0.5820914,0.3789199,0.31220394
16,0,-0.1,-10,0.5830264,0.38392207,0.3086933
17,0,0.0,-10,0.5831409,0.38425878,0.307647
18,0,0.1,-10,0.5832018,0.38425392,0.3065563
19,0,0.5,-10,0.58291185,0.38139755,0.30200034
20,0,1.0,-10,0.5815962,0.37395847,0.29656595
21,2,-1.0,-3,0.5738938,0.386822,0.33219588
22,2,-0.5,-3,0.5778935,0.38585803,0.31887186
23,2,-0.1,-3,0.5824297,0.3856487,0.30981642
24,2,0.0,-3,0.5831409,0.38425878,0.307647
25,2,0.1,-3,0.5836849,0.382429,0.30560634
26,2,0.5,-3,0.58519816,0.37582606,0.30008042
27,2,1.0,-3,0.5874407,0.37924877,0.29871497
28,2,-1.0,-5,0.57521564,0.359189,0.31726164
29,2,-0.5,-5,0.58058643,0.3764168,0.31246176
30,2,-0.1,-5,0.5828926,0.38349763,0.3085924
31,2,0.0,-5,0.5831409,0.38425878,0.307647
32,2,0.1,-5,0.583277,0.38467383,0.3067391
33,2,0.5,-5,0.58296055,0.38416198,0.30385697
34,2,1.0,-5,0.581287,0.3836025,0.30279723
35,2,-1.0,-10,0.5775901,0.36073026,0.3118045
36,2,-0.5,-10,0.5810568,0.37568477,0.31010243
37,2,-0.1,-10,0.58284223,0.38303575,0.30816326
38,2,0.0,-10,0.5831409,0.38425878,0.307647
39,2,0.1,-10,0.583383,0.3852631,0.3071316
40,2,0.5,-10,0.58382726,0.3874467,0.3051918
41,2,1.0,-10,0.58342135,0.38744724,0.30333802
42,4,-1.0,-3,0.5814442,0.40627345,0.33101854
43,4,-0.5,-3,0.5820771,0.39464694,0.31828892
44,4,-0.1,-3,0.5830275,0.38601288,0.30929887
45,4,0.0,-3,0.5831409,0.38425878,0.307647
46,4,0.1,-3,0.5832158,0.3827489,0.30631742
47,4,0.5,-3,0.5838095,0.3810522,0.30419013
48,4,1.0,-3,0.58629525,0.3880187,0.3043408
49,4,-1.0,-5,0.58081883,0.36093956,0.31395876
50,4,-0.5,-5,0.58290786,0.37558895,0.3104294
51,4,-0.1,-5,0.58324057,0.38296622,0.30806407
52,4,0.0,-5,0.5831409,0.38425878,0.307647
53,4,0.1,-5,0.58296895,0.3853758,0.3073255
54,4,0.5,-5,0.58163476,0.38876832,0.30709904
55,4,1.0,-5,0.57890207,0.3929369,0.30891162
56,4,-1.0,-10,0.5820659,0.37226933,0.31053478
57,4,-0.5,-10,0.58291185,0.3797271,0.30904454
58,4,-0.1,-10,0.5831506,0.38355866,0.30790064
59,4,0.0,-10,0.5831409,0.38425878,0.307647
60,4,0.1,-10,0.58310217,0.3848677,0.30741197
61,4,0.5,-10,0.5826535,0.38651884,0.3066935
62,4,1.0,-10,0.58147216,0.38729972,0.30636176
63,6,-1.0,-3,0.5782535,0.39073056,0.33017987
64,6,-0.5,-3,0.58209753,0.38967264,0.31800988
65,6,-0.1,-3,0.58319575,0.38523498,0.30907437
66,6,0.0,-3,0.5831409,0.38425878,0.307647
67,6,0.1,-3,0.58302957,0.38360456,0.30668283
68,6,0.5,-3,0.5831391,0.3859531,0.3068313
69,6,1.0,-3,0.58624136,0.3950468,0.30838624
70,6,-1.0,-5,0.5797248,0.3548644,0.31284314
71,6,-0.5,-5,0.58313185,0.37366962,0.3098584
72,6,-0.1,-5,0.58333963,0.38263184,0.30788553
73,6,0.0,-5,0.5831409,0.38425878,0.307647
74,6,0.1,-5,0.58286417,0.38573855,0.30755007
75,6,0.5,-5,0.58120686,0.39107367,0.3086356
76,6,1.0,-5,0.5785111,0.39815003,0.31227273
77,6,-1.0,-10,0.5821005,0.3718814,0.3105439
78,6,-0.5,-10,0.5830369,0.37954667,0.30893227
79,6,-0.1,-10,0.58318466,0.38350686,0.30785257
80,6,0.0,-10,0.5831409,0.38425878,0.307647
81,6,0.1,-10,0.58306664,0.38493225,0.30747357
82,6,0.5,-10,0.5824786,0.3869908,0.3071376
83,6,1.0,-10,0.5811846,0.38861313,0.30753872
84,8,-1.0,-3,0.5800488,0.3763819,0.32360822
85,8,-0.5,-3,0.5838805,0.3773958,0.31209722
86,8,-0.1,-3,0.58344674,0.38243857,0.30773997
87,8,0.0,-3,0.5831409,0.38425878,0.307647
88,8,0.1,-3,0.58288974,0.38621712,0.3078764
89,8,0.5,-3,0.5834085,0.39580294,0.3103087
90,8,1.0,-3,0.5874373,0.40647542,0.3105676
91,8,-1.0,-5,0.57913417,0.3351823,0.30688342
92,8,-0.5,-5,0.5835582,0.3630364,0.30610573
93,8,-0.1,-5,0.58340913,0.38074836,0.30716193
94,8,0.0,-5,0.5831409,0.38425878,0.307647
95,8,0.1,-5,0.5828188,0.387436,0.30821875
96,8,0.5,-5,0.581261,0.39765272,0.3112105
97,8,1.0,-5,0.57921785,0.40762174,0.3154011
98,8,-1.0,-10,0.58291316,0.36403668,0.30767572
99,8,-0.5,-10,0.583378,0.3754988,0.3074717
100,8,-0.1,-10,0.583237,0.38273725,0.30757675
101,8,0.0,-10,0.5831409,0.38425878,0.307647
102,8,0.1,-10,0.5830239,0.38566932,0.3077361
103,8,0.5,-10,0.5823561,0.39026546,0.30829006
104,8,1.0,-10,0.5811709,0.39411935,0.30938748
105,10,-1.0,-3,0.5848936,0.35887036,0.31355217
106,10,-0.5,-3,0.586497,0.36746392,0.30675972
107,10,-0.1,-3,0.58380103,0.38143054,0.30704406
108,10,0.0,-3,0.5831409,0.38425878,0.307647
109,10,0.1,-3,0.5826509,0.38675788,0.3083528
110,10,0.5,-3,0.58318084,0.39720878,0.31130114
111,10,1.0,-3,0.5878276,0.40724933,0.31081975
112,10,-1.0,-5,0.5801815,0.31862965,0.30151477
113,10,-0.5,-5,0.5842709,0.35645494,0.30381653
114,10,-0.1,-5,0.58351207,0.37990242,0.3068298
115,10,0.0,-5,0.5831409,0.38425878,0.307647
116,10,0.1,-5,0.5827297,0.38806045,0.3084857
117,10,0.5,-5,0.5808865,0.39936525,0.312033
118,10,1.0,-5,0.57841295,0.41027725,0.31646493
119,10,-1.0,-10,0.5848138,0.35902727,0.3043882
120,10,-0.5,-10,0.5841287,0.37381855,0.3060664
121,10,-0.1,-10,0.58335775,0.38251656,0.30733424
122,10,0.0,-10,0.5831409,0.38425878,0.307647
123,10,0.1,-10,0.5829145,0.38584003,0.30796045
124,10,0.5,-10,0.581897,0.39074507,0.30925414
125,10,1.0,-10,0.580376,0.39457598,0.31101537
126,12,-1.0,-3,0.58285916,0.35891664,0.3168768
127,12,-0.5,-3,0.58659506,0.3720773,0.30789632
128,12,-0.1,-3,0.58370733,0.38215294,0.30720854
129,12,0.0,-3,0.5831409,0.38425878,0.307647
130,12,0.1,-3,0.5828613,0.3865328,0.30827054
131,12,0.5,-3,0.5851595,0.40112436,0.3117439
132,12,1.0,-3,0.59194964,0.41418704,0.3122988
